Aston Villa	0.01
Blackburn	0.04
Chelsea	0.13
Liverpool	0.24
Man City	0.25
Newcastle	0.29
Southampton	0.37
West Ham	0.44
Wimbledon	0.46
Arsenal	0.0
Leeds	0.22
Bolton	0.06
Coventry	0.14
Everton	0.17
Man United	0.26
Nott'm Forest	0.31
QPR	0.33
Sheffield Weds	0.36
Tottenham	0.41
Middlesbrough	0.28
Derby	0.16
Sunderland	0.39
Leicester	0.23
Barnsley	0.02
Crystal Palace	0.15
Charlton	0.12
Watford	0.42
Bradford	0.08
Ipswich	0.21
Fulham	0.18
Birmingham	0.03
Middlesboro	0.27
West Brom	0.43
Portsmouth	0.32
Wolves	0.47
Norwich	0.3
Wigan	0.45
Reading	0.34
Sheffield United	0.35
Hull	0.2
Stoke	0.38
Burnley	0.1
Blackpool	0.05
Swansea	0.4
Cardiff	0.11
Bournemouth	0.07
Brighton	0.09
Huddersfield	0.19
